pokedex_number,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,abilities,gender_threshold
568,Trubbish,poison,none,50,50,62,40,62,65,"['Stench', 'Sticky Hold', 'Aftermath']",127
569,Garbodor,poison,none,80,95,82,60,82,75,"['Stench', 'Weak Armor', 'Aftermath']",127
570,Zorua,dark,none,40,65,40,80,40,65,['Illusion'],31
571,Zoroark,dark,none,60,105,60,120,60,105,['Illusion'],31
572,Minccino,normal,none,55,50,40,40,40,75,"['Cute Charm', 'Technician', 'Skill Link']",191
573,Cinccino,normal,none,75,95,60,65,60,115,"['Cute Charm', 'Technician', 'Skill Link']",191
574,Gothita,psychic,none,45,30,50,55,65,45,"['Frisk', 'Competitive', 'Shadow Tag']",191
575,Gothorita,psychic,none,60,45,70,75,85,55,"['Frisk', 'Competitive', 'Shadow Tag']",191
576,Gothitelle,psychic,none,70,55,95,95,110,65,"['Frisk', 'Competitive', 'Shadow Tag']",191
577,Solosis,psychic,none,45,30,40,105,50,20,"['Overcoat', 'Magic Guard', 'Regenerator']",127
578,Duosion,psychic,none,65,40,50,125,60,30,"['Overcoat', 'Magic Guard', 'Regenerator']",127
579,Reuniclus,psychic,none,110,65,75,125,85,30,"['Overcoat', 'Magic Guard', 'Regenerator']",127
580,Ducklett,water,flying,62,44,50,44,50,55,"['Keen Eye', 'Big Pecks', 'Hydration']",127
581,Swanna,water,flying,75,87,63,87,63,98,"['Keen Eye', 'Big Pecks', 'Hydration']",127
582,Vanillite,ice,none,36,50,50,65,60,44,"['Ice Body', 'Snow Cloak', 'Weak Armor']",127
583,Vanillish,ice,none,51,65,65,80,75,59,"['Ice Body', 'Snow Cloak', 'Weak Armor']",127
584,Vanilluxe,ice,none,71,95,85,110,95,79,"['Ice Body', 'Snow Warning', 'Weak Armor']",127
585,Deerling,normal,grass,60,60,50,40,50,75,"['Chlorophyll', 'Sap Sipper', 'Serene Grace']",127
586,Sawsbuck,normal,grass,80,100,70,60,70,95,"['Chlorophyll', 'Sap Sipper', 'Serene Grace']",127
587,Emolga,electric,flying,55,75,60,75,60,103,"['Static', 'Motor Drive']",127
588,Karrablast,bug,none,50,75,45,40,45,60,"['Swarm', 'Shed Skin', 'No Guard']",127
589,Escavalier,bug,steel,70,135,105,60,105,20,"['Swarm', 'Shell Armor', 'Overcoat']",127
590,Foongus,grass,poison,69,55,45,55,55,15,"['Effect Spore', 'Regenerator']",127
591,Amoonguss,grass,poison,114,85,70,85,80,30,"['Effect Spore', 'Regenerator']",127
592,Frillish,water,ghost,55,40,50,65,85,40,"['Water Absorb', 'Cursed Body', 'Damp']",127
593,Jellicent,water,ghost,100,60,70,85,105,60,"['Water Absorb', 'Cursed Body', 'Damp']",127
594,Alomomola,water,none,165,75,80,40,45,65,"['Healer', 'Hydration', 'Regenerator']",127
595,Joltik,bug,electric,50,47,50,57,50,65,"['Compoundeyes', 'Unnerve', 'Swarm']",127
596,Galvantula,bug,electric,70,77,60,97,60,108,"['Compoundeyes', 'Unnerve', 'Swarm']",127
597,Ferroseed,grass,steel,44,50,91,24,86,10,['Iron Barbs'],127
598,Ferrothorn,grass,steel,74,94,131,54,116,20,"['Iron Barbs', 'Anticipation']",127
599,Klink,steel,none,40,55,70,45,60,30,"['Plus', 'Minus', 'Clear Body']",none
600,Klang,steel,none,60,80,95,70,85,50,"['Plus', 'Minus', 'Clear Body']",none
601,Klinklang,steel,none,60,100,115,70,85,90,"['Plus', 'Minus', 'Clear Body']",none
602,Tynamo,electric,none,35,55,40,45,40,60,['Levitate'],127
603,Eelektrik,electric,none,65,85,70,75,70,40,['Levitate'],127
604,Eelektross,electric,none,85,115,80,105,80,50,['Levitate'],127
605,Elgyem,psychic,none,55,55,55,85,55,30,"['Telepathy', 'Synchronize', 'Analytic']",127
606,Beheeyem,psychic,none,75,75,75,125,95,40,"['Telepathy', 'Synchronize', 'Analytic']",127
607,Litwick,ghost,fire,50,30,55,65,55,20,"['Flash Fire', 'Flame Body', 'Infiltrator']",127
608,Lampent,ghost,fire,60,40,60,95,60,55,"['Flash Fire', 'Flame Body', 'Infiltrator']",127
609,Chandelure,ghost,fire,60,55,90,145,90,80,"['Flash Fire', 'Flame Body', 'Infiltrator']",127
610,Axew,dragon,none,46,87,60,30,40,57,"['Rivalry', 'Mold Breaker', 'Unnerve']",127
611,Fraxure,dragon,none,66,117,70,40,50,67,"['Rivalry', 'Mold Breaker', 'Unnerve']",127
612,Haxorus,dragon,none,76,147,90,60,70,97,"['Rivalry', 'Mold Breaker', 'Unnerve']",127
613,Cubchoo,ice,none,55,70,40,60,40,40,"['Snow Cloak', 'Slush Rush', 'Rattled']",127
614,Beartic,ice,none,95,130,80,70,80,50,"['Snow Cloak', 'Slush Rush', 'Swift Swim']",127
615,Cryogonal,ice,none,80,50,50,95,135,105,['Levitate'],none
616,Shelmet,bug,none,50,40,85,40,65,25,"['Hydration', 'Shell Armor', 'Overcoat']",127
617,Accelgor,bug,none,80,70,40,100,60,145,"['Hydration', 'Sticky Hold', 'Unburden']",127
618,Stunfisk,ground,electric,109,66,84,81,99,32,"['Static', 'Limber', 'Sand Veil']",127
619,Mienfoo,fighting,none,45,85,50,55,50,65,"['Inner Focus', 'Regenerator', 'Reckless']",127
620,Mienshao,fighting,none,65,125,60,95,60,105,"['Inner Focus', 'Regenerator', 'Reckless']",127
621,Druddigon,dragon,none,77,120,90,60,90,48,"['Rough Skin', 'Sheer Force', 'Mold Breaker']",127
622,Golett,ground,ghost,59,74,50,35,50,35,"['Iron Fist', 'Klutz', 'No Guard']",none
623,Golurk,ground,ghost,89,124,80,55,80,55,"['Iron Fist', 'Klutz', 'No Guard']",none
624,Pawniard,dark,steel,45,85,70,40,40,60,"['Defiant', 'Inner Focus', 'Pressure']",127
625,Bisharp,dark,steel,65,125,100,60,70,70,"['Defiant', 'Inner Focus', 'Pressure']",127
626,Bouffalant,normal,none,95,110,95,40,95,55,"['Reckless', 'Sap Sipper', 'Soundproof']",127
627,Rufflet,normal,flying,70,83,50,37,50,60,"['Keen Eye', 'Sheer Force', 'Hustle']",0
628,Braviary,normal,flying,100,123,75,57,75,80,"['Keen Eye', 'Sheer Force', 'Defiant']",0
629,Vullaby,dark,flying,70,55,75,45,65,60,"['Big Pecks', 'Overcoat', 'Weak Armor']",254
630,Mandibuzz,dark,flying,110,65,105,55,95,80,"['Big Pecks', 'Overcoat', 'Weak Armor']",254
631,Heatmor,fire,none,85,97,66,105,66,65,"['Gluttony', 'Flash Fire', 'White Smoke']",127
632,Durant,bug,steel,58,109,112,48,48,109,"['Swarm', 'Hustle', 'Truant']",127
633,Deino,dark,dragon,52,65,50,45,50,38,['Hustle'],127
634,Zweilous,dark,dragon,72,85,70,65,70,58,['Hustle'],127
635,Hydreigon,dark,dragon,92,105,90,125,90,98,['Levitate'],127
636,Larvesta,bug,fire,55,85,55,50,55,60,"['Flame Body', 'Swarm']",127
637,Volcarona,bug,fire,85,60,65,135,105,100,"['Flame Body', 'Swarm']",127
638,Cobalion,steel,fighting,91,90,129,90,72,108,['Justified'],none
639,Terrakion,rock,fighting,91,129,90,72,90,108,['Justified'],none
640,Virizion,grass,fighting,91,90,72,90,129,108,['Justified'],none
641,Tornadus,flying,none,79,100,80,110,90,121,"['Prankster', 'Defiant', 'Regenerator']",0
642,Thundurus,electric,flying,79,105,70,145,80,101,"['Prankster', 'Defiant', 'Volt Absorb']",0
643,Reshiram,dragon,fire,100,120,100,150,120,90,['Turboblaze'],none
644,Zekrom,dragon,electric,100,150,120,120,100,90,['Teravolt'],none
645,Landorus,ground,flying,89,145,90,105,80,91,"['Sand Force', 'Sheer Force', 'Intimidate']",0
646,Kyurem,dragon,ice,125,120,90,170,100,95,"['Pressure', 'Teravolt', 'Turboblaze']",none
647,Keldeo,water,fighting,91,72,90,129,90,108,['Justified'],none
648,Meloetta,normal,psychic,100,128,90,77,77,128,['Serene Grace'],none
649,Genesect,bug,steel,71,120,95,120,95,99,['Download'],none
